"Index" "XAG.USD"
2013-06-29 18.9291
2013-06-30 19.6719
2013-07-01 19.6719
2013-07-02 19.6888
2013-07-03 19.6065
2013-07-04 19.5997
2013-07-05 19.6415
2013-07-06 19.178
2013-07-07 18.9126
2013-07-08 18.9126
2013-07-09 18.9938
2013-07-10 19.2471
2013-07-11 19.2327
2013-07-12 19.952
2013-07-13 19.9294
2013-07-14 19.9395
2013-07-15 19.9395
2013-07-16 19.948
2013-07-17 19.9109
2013-07-18 19.7955
2013-07-19 19.4065
2013-07-20 19.4673
2013-07-21 19.5107
2013-07-22 19.5107
2013-07-23 20.0896
2013-07-24 20.3741
2013-07-25 20.3073
2013-07-26 20.1237
2013-07-27 20.0985
2013-07-28 20.0048
2013-07-29 20.0048
2013-07-30 19.9143
2013-07-31 19.7692
2013-08-01 19.8011
2013-08-02 19.7313
2013-08-03 19.6492
2013-08-04 19.8993
2013-08-05 19.8993
2013-08-06 19.8509
2013-08-07 19.6578
2013-08-08 19.4659
2013-08-09 19.8734
2013-08-10 20.3137
2013-08-11 20.5521
2013-08-12 20.5521
2013-08-13 21.0931
2013-08-14 21.4214
2013-08-15 21.5496
2013-08-16 22.1649
2013-08-17 23.0512
2013-08-18 23.2553
2013-08-19 23.2553
2013-08-20 23.2798
2013-08-21 23.0275
2013-08-22 22.9986
2013-08-23 22.9793
2013-08-24 23.3345
2013-08-25 24.0705
2013-08-26 24.0705
2013-08-27 24.1154
2013-08-28 24.3422
2013-08-29 24.6026
2013-08-30 24.0879
2013-08-31 23.6872
2013-09-01 23.5241
2013-09-02 23.5241
2013-09-03 23.9657
2013-09-04 24.2223
2013-09-05 23.8627
2013-09-06 23.3825
2013-09-07 23.4281
2013-09-08 23.8597
2013-09-09 23.8597
2013-09-10 23.7482
2013-09-11 23.2832
2013-09-12 23.0718
2013-09-13 22.6431
2013-09-14 21.869
2013-09-15 22.2201
2013-09-16 22.2201
2013-09-17 22.0163
2013-09-18 21.8608
2013-09-19 21.7136
2013-09-20 23.0659
2013-09-21 22.6121
2013-09-22 21.7835
2013-09-23 21.7835
2013-09-24 21.7128
2013-09-25 21.6645
2013-09-26 21.7385
2013-09-27 21.7893
2013-09-28 21.7107
2013-09-29 21.786
2013-09-30 21.786
2013-10-01 21.7356
2013-10-02 21.4607
2013-10-03 21.3429
2013-10-04 21.6764
2013-10-05 21.6724
2013-10-06 21.7415
2013-10-07 21.7415
2013-10-08 21.9505
2013-10-09 22.3447
2013-10-10 22.1296
2013-10-11 21.8749
2013-10-12 21.5018
2013-10-13 21.3385
2013-10-14 21.3385
2013-10-15 21.3562
2013-10-16 21.1228
2013-10-17 21.2791
2013-10-18 21.6129
2013-10-19 21.8796
2013-10-20 21.9299
2013-10-21 21.9299
2013-10-22 22.1336
2013-10-23 22.3363
2013-10-24 22.652
2013-10-25 22.6987
2013-10-26 22.5496
2013-10-27 22.5438
2013-10-28 22.5438
2013-10-29 22.5637
2013-10-30 22.4938
2013-10-31 22.6879
2013-11-01 22.2648
2013-11-02 21.8772
2013-11-03 21.8813
2013-11-04 21.8813
2013-11-05 21.7737
2013-11-06 21.678
2013-11-07 21.7893
2013-11-08 21.743
2013-11-09 21.6019
2013-11-10 21.5116
2013-11-11 21.512
2013-11-12 21.3838
2013-11-13 21.1328
2013-11-14 20.715
2013-11-15 20.7651
2013-11-16 20.7435
2013-11-17 20.8096
2013-11-18 20.8105
2013-11-19 20.6446
2013-11-20 20.3567
2013-11-21 20.3131
2013-11-22 19.9133
2013-11-23 19.9554
2013-11-24 19.8619
2013-11-25 19.8614
2013-11-26 19.8059
2013-11-27 20.0852
2013-11-28 19.8858
2013-11-29 19.7091
2013-11-30 19.8718
2013-12-01 19.9904
2013-12-02 19.9904
2013-12-03 19.7014
2013-12-04 19.1852
2013-12-05 19.2433
2013-12-06 19.5514
2013-12-07 19.4703
2013-12-08 19.5073
2013-12-09 19.5082
2013-12-10 19.6132
2013-12-11 20.0431
2013-12-12 20.3432
2013-12-13 19.9971
2013-12-14 19.5238
2013-12-15 19.7072
2013-12-16 19.7073
2013-12-17 19.7135
2013-12-18 19.9607
2013-12-19 19.959
2013-12-20 19.4489
2013-12-21 19.3018
2013-12-22 19.4062
2013-12-23 19.407
2013-12-24 19.425
2013-12-25 19.4258
2013-12-26 19.5075
2013-12-27 19.6291
2013-12-28 19.9235
2013-12-29 20.0834
2013-12-30 20.0844
2013-12-31 19.8
2014-01-01 19.5012
2014-01-02 19.4536
2014-01-03 19.9359
2014-01-04 20.1275
2014-01-05 20.1594
2014-01-06 20.1598
2014-01-07 20.145
2014-01-08 20.0417
2014-01-09 19.6255
2014-01-10 19.5703
2014-01-11 19.8253
2014-01-12 20.1567
2014-01-13 20.158
2014-01-14 20.1964
2014-01-15 20.3386
2014-01-16 20.1391
2014-01-17 20.1243
2014-01-18 20.1652
2014-01-19 20.3002
2014-01-20 20.3011
2014-01-21 20.3363
2014-01-22 20.084
2014-01-23 19.8819
2014-01-24 19.9209
2014-01-25 20.0239
2014-01-26 19.916
2014-01-27 19.9167
2014-01-28 19.8783
2014-01-29 19.6959
2014-01-30 19.6334
2014-01-31 19.4314
2014-02-01 19.2101
2014-02-02 19.1786
2014-02-03 19.1791
2014-02-04 19.2442
2014-02-05 19.3965
2014-02-06 19.6753
2014-02-07 19.9731
2014-02-08 19.9153
2014-02-09 20.0233
2014-02-10 20.023
2014-02-11 20.1118
2014-02-12 20.1546
2014-02-13 20.2197
2014-02-14 20.2797
2014-02-15 20.9259
2014-02-16 21.4776
2014-02-17 21.4782
2014-02-18 21.7399
2014-02-19 21.6949
2014-02-20 21.7921
2014-02-21 21.6134
2014-02-22 21.7421
2014-02-23 21.8495
2014-02-24 21.8505
2014-02-25 21.8814
2014-02-26 21.8964
2014-02-27 21.722
2014-02-28 21.2518
2014-03-01 21.2574
2014-03-02 21.2234
2014-03-03 21.224
2014-03-04 21.4708
2014-03-05 21.2968
2014-03-06 21.2296
2014-03-07 21.2672
2014-03-08 21.2862
2014-03-09 20.9091
2014-03-10 20.9087
2014-03-11 20.8362
2014-03-12 20.9366
2014-03-13 21.0726
2014-03-14 21.3023
2014-03-15 21.338
2014-03-16 21.4475
2014-03-17 21.4475
2014-03-18 21.3704
2014-03-19 20.9905
2014-03-20 20.7766
2014-03-21 20.4886
2014-03-22 20.3741
2014-03-23 20.3212
2014-03-24 20.3212
2014-03-25 20.1551
2014-03-26 20.028
2014-03-27 19.9632
2014-03-28 19.7308
2014-03-29 19.7939
2014-03-30 19.8312
2014-03-31 19.8312
2014-04-01 19.8402
2014-04-02 19.7704
2014-04-03 19.895
2014-04-04 19.9117
2014-04-05 19.9331
2014-04-06 19.9648
2014-04-07 19.9648
2014-04-08 19.8947
2014-04-09 20.0258
2014-04-10 19.9301
2014-04-11 20.0842
2014-04-12 20.0167
2014-04-13 20.002
2014-04-14 20.002
2014-04-15 20.0014
2014-04-16 19.7471
2014-04-17 19.5738
2014-04-18 19.6147
2014-04-19 19.6564
2014-04-20 19.6564
2014-04-21 19.6564
2014-04-22 19.4147
2014-04-23 19.4153
2014-04-24 19.4561
2014-04-25 19.462
2014-04-26 19.6482
2014-04-27 19.7326
2014-04-28 19.7326
2014-04-29 19.6465
2014-04-30 19.4999
2014-05-01 19.3321
2014-05-02 19.0838
2014-05-03 19.1911
2014-05-04 19.4903
2014-05-05 19.4903
2014-05-06 19.584
2014-05-07 19.5975
2014-05-08 19.5581
2014-05-09 19.2655
2014-05-10 19.175
2014-05-11 19.1671
2014-05-12 19.1671
2014-05-13 19.3676
2014-05-14 19.5107
2014-05-15 19.6836
2014-05-16 19.6686
2014-05-17 19.417
2014-05-18 19.3728
2014-05-19 19.3728
2014-05-20 19.4458
2014-05-21 19.3703
2014-05-22 19.4129
2014-05-23 19.4954
2014-05-24 19.4525
2014-05-25 19.4602
2014-05-26 19.4602
2014-05-27 19.4447
2014-05-28 19.2706
2014-05-29 19.0885
2014-05-30 18.9944
2014-05-31 18.9575
2014-06-01 18.8224
2014-06-02 18.8224
2014-06-03 18.7736
2014-06-04 18.8238
2014-06-05 18.824
2014-06-06 18.8938
2014-06-07 19.0639
2014-06-08 19.0346
2014-06-09 19.0346
2014-06-10 19.0793
2014-06-11 19.1234
2014-06-12 19.2287
2014-06-13 19.31
2014-06-14 19.5846
2014-06-15 19.7105
2014-06-16 19.7105
2014-06-17 19.7317
2014-06-18 19.6468
2014-06-19 19.7497
2014-06-20 20.134
2014-06-21 20.7815
2014-06-22 20.8699
2014-06-23 20.8699
2014-06-24 20.8448
2014-06-25 20.9442
2014-06-26 20.9111
2014-06-27 20.9904
2014-06-28 21.0915
2014-06-29 20.9658
2014-06-30 20.9658
2014-07-01 20.9218
2014-07-02 21.082
2014-07-03 21.0938
2014-07-04 21.095
2014-07-05 21.1486
2014-07-06 21.15
2014-07-07 21.1544
2014-07-08 21.0058
2014-07-09 21.0303
2014-07-10 21.0917
2014-07-11 21.3032
2014-07-12 21.4343
2014-07-13 21.4456
2014-07-14 21.4456
2014-07-15 21.1525
2014-07-16 20.8918
2014-07-17 20.735
2014-07-18 20.8747
2014-07-19 20.9928
2014-07-20 20.875
2014-07-21 20.8753
2014-07-22 20.9316
2014-07-23 20.9135
2014-07-24 20.958
2014-07-25 20.7259
2014-07-26 20.4676
2014-07-27 20.7401
2014-07-28 20.7401
2014-07-29 20.6319
2014-07-30 20.6069
2014-07-31 20.5772
2014-08-01 20.5688
2014-08-02 20.3815
2014-08-03 20.3332
2014-08-04 20.3332
2014-08-05 20.3288
2014-08-06 20.0903
2014-08-07 19.8993
2014-08-08 20.0172
2014-08-09 19.9991
2014-08-10 19.8855
2014-08-11 19.8969
2014-08-12 19.9344
2014-08-13 20.0221
2014-08-14 19.932
2014-08-15 19.8875
2014-08-16 19.7841
2014-08-17 19.5635
2014-08-18 19.5635
2014-08-19 19.5943
2014-08-20 19.5905
2014-08-21 19.4834
2014-08-22 19.4258
2014-08-23 19.4774
2014-08-24 19.4228
2014-08-25 19.4228
2014-08-26 19.3999
2014-08-27 19.4646
2014-08-28 19.4324
2014-08-29 19.6004
2014-08-30 19.5286
2014-08-31 19.4751
2014-09-01 19.4631
2014-09-02 19.4761
2014-09-03 19.3323
2014-09-04 19.1955
2014-09-05 19.1878
2014-09-06 19.1009
2014-09-07 19.1949
2014-09-08 19.1949
2014-09-09 19.1651
2014-09-10 19.0127
2014-09-11 19.0254
2014-09-12 18.8193
2014-09-13 18.6122
2014-09-14 18.6385
2014-09-15 18.6385
2014-09-16 18.639
2014-09-17 18.7218
2014-09-18 18.69
2014-09-19 18.5225
2014-09-20 18.3376
2014-09-21 17.8305
2014-09-22 17.8305
2014-09-23 17.7062
2014-09-24 17.7925
2014-09-25 17.7419
2014-09-26 17.5643
2014-09-27 17.5874
2014-09-28 17.6444
2014-09-29 17.6444
2014-09-30 17.5581
2014-10-01 17.3413
2014-10-02 17.0819
2014-10-03 17.1564
2014-10-04 17.006
2014-10-05 16.8445
2014-10-06 16.8445
2014-10-07 16.9864
2014-10-08 17.3069
2014-10-09 17.2722
2014-10-10 17.4829
2014-10-11 17.3256
2014-10-12 17.3953
2014-10-13 17.3953
2014-10-14 17.4539
2014-10-15 17.4677
2014-10-16 17.3199
2014-10-17 17.4353
2014-10-18 17.3594
2014-10-19 17.2698
2014-10-20 17.2698
2014-10-21 17.3723
2014-10-22 17.477
2014-10-23 17.3672
2014-10-24 17.1827
2014-10-25 17.2278
2014-10-26 17.2035
2014-10-27 17.2035
2014-10-28 17.1832
2014-10-29 17.2229
2014-10-30 17.2241
2014-10-31 16.8456
2014-11-01 16.2058
2014-11-02 16.1594
2014-11-03 16.1594
2014-11-04 16.0487
2014-11-05 16.0428
2014-11-06 15.6335
2014-11-07 15.3632
2014-11-08 15.4664
2014-11-09 15.7862
2014-11-10 15.7871
2014-11-11 15.7156
2014-11-12 15.6233
2014-11-13 15.6869
2014-11-14 15.6732
2014-11-15 15.6512
2014-11-16 16.3153
2014-11-17 16.3157
2014-11-18 16.2207
2014-11-19 16.2001
2014-11-20 16.2075
2014-11-21 16.1553
2014-11-22 16.3318
2014-11-23 16.4389
2014-11-24 16.4386
2014-11-25 16.416
2014-11-26 16.5767
2014-11-27 16.6217
2014-11-28 16.3784
2014-11-29 15.9815
2014-11-30 15.4514
2014-12-01 15.4514
2014-12-02 15.5718
2014-12-03 16.3503
2014-12-04 16.4348
2014-12-05 16.475
2014-12-06 16.3959
2014-12-07 16.2935
2014-12-08 16.2933
2014-12-09 16.2834
2014-12-10 16.5912
2014-12-11 17.0955
2014-12-12 17.0712
2014-12-13 17.0874
2014-12-14 17.0381
2014-12-15 17.0388
2014-12-16 16.8417
2014-12-17 16.1236
2014-12-18 15.8408
2014-12-19 15.964
2014-12-20 15.9495
2014-12-21 16.0731
2014-12-22 16.0737
2014-12-23 15.9698
2014-12-24 15.7218
2014-12-25 15.7786
2014-12-26 15.7727
2014-12-27 16.039
2014-12-28 16.0819
2014-12-29 16.083
2014-12-30 16.0497
2014-12-31 15.9908
2015-01-01 16.063
