"Index" "ECD.Open" "ECD.High" "ECD.Low" "ECD.Close" "ECD.Volume" "ECD.Adjusted"
2013-06-28 0.25 0.26 0.24 0.26 1100 2.08
2013-07-01 0.26 0.27 0.25 0.27 1000 2.16
2013-07-02 0.27 0.27 0.27 0.27 0 2.16
2013-07-03 0.25 0.26 0.25 0.26 6000 2.08
2013-07-04 0.26 0.26 0.26 0.26 1300 2.08
2013-07-05 0.26 0.26 0.26 0.26 100 2.08
2013-07-08 0.26 0.26 0.26 0.26 0 2.08
2013-07-09 0.26 0.27 0.26 0.27 2100 2.16
2013-07-10 0.27 0.27 0.25 0.27 600 2.16
2013-07-11 0.27 0.27 0.26 0.27 100 2.16
2013-07-12 0.27 0.27 0.26 0.26 100 2.08
2013-07-15 0.25 0.26 0.25 0.26 100 2.08
2013-07-16 0.25 0.25 0.25 0.25 1200 2
2013-07-17 0.25 0.26 0.23 0.24 2700 1.92
2013-07-18 0.24 0.25 0.24 0.25 500 2
2013-07-19 0.24 0.25 0.24 0.25 300 2
2013-07-22 0.25 0.25 0.25 0.25 0 2
2013-07-23 0.25 0.27 0.25 0.27 4200 2.16
2013-07-24 0.27 0.27 0.25 0.25 300 2
2013-07-25 0.25 0.25 0.25 0.25 3400 2
2013-07-26 0.24 0.25 0.24 0.25 100 2
2013-07-29 0.25 0.25 0.24 0.24 100 1.92
2013-07-30 0.24 0.25 0.24 0.25 1700 2
2013-07-31 0.25 0.25 0.25 0.25 0 2
2013-08-01 0.25 0.25 0.25 0.25 300 2
2013-08-02 0.25 0.25 0.24 0.25 1600 2
2013-08-05 0.25 0.25 0.24 0.25 600 2
2013-08-06 0.25 0.27 0.25 0.26 5200 2.08
2013-08-07 0.26 0.26 0.25 0.26 2100 2.08
2013-08-08 0.26 0.29 0.26 0.28 17600 2.24
2013-08-09 0.29 0.29 0.27 0.29 5700 2.32
2013-08-12 0.27 0.29 0.27 0.29 3900 2.32
2013-08-13 0.29 0.29 0.27 0.29 4100 2.32
2013-08-14 0.28 0.29 0.27 0.29 1500 2.32
2013-08-15 0.29 0.29 0.29 0.29 0 2.32
2013-08-16 0.29 0.29 0.29 0.29 0 2.32
2013-08-19 0.29 0.29 0.28 0.28 100 2.24
2013-08-20 0.28 0.28 0.28 0.28 100 2.24
2013-08-21 0.29 0.29 0.29 0.29 0 2.32
2013-08-22 0.31 0.34 0.31 0.34 109400 2.72
2013-08-23 0.35 0.35 0.31 0.32 28700 2.56
2013-08-26 0.32 0.32 0.29 0.3 16600 2.4
2013-08-27 0.31 0.31 0.29 0.29 6100 2.32
2013-08-28 0.3 0.31 0.29 0.3 2500 2.4
2013-08-29 0.3 0.31 0.3 0.31 2600 2.48
2013-08-30 0.31 0.32 0.29 0.32 8800 2.56
2013-09-02 0.32 0.33 0.31 0.32 5100 2.56
2013-09-03 0.32 0.32 0.31 0.31 2100 2.48
2013-09-04 0.31 0.32 0.31 0.31 3400 2.48
2013-09-05 0.3 0.3 0.29 0.3 3600 2.4
2013-09-06 0.29 0.3 0.29 0.3 2400 2.4
2013-09-09 0.29 0.3 0.29 0.3 300 2.4
2013-09-10 0.29 0.3 0.29 0.3 3100 2.4
2013-09-11 0.3 0.3 0.28 0.3 4400 2.4
2013-09-12 0.3 0.33 0.3 0.32 8900 2.56
2013-09-13 0.32 0.33 0.31 0.31 3100 2.48
2013-09-16 0.31 0.32 0.3 0.32 1600 2.56
2013-09-17 0.32 0.34 0.32 0.34 11700 2.72
2013-09-18 0.33 0.34 0.32 0.34 1100 2.72
2013-09-19 0.34 0.34 0.33 0.33 3700 2.64
2013-09-23 0.33 0.34 0.32 0.32 3500 2.56
2013-09-24 0.32 0.32 0.32 0.32 800 2.56
2013-09-25 0.33 0.33 0.32 0.32 500 2.56
2013-09-26 0.32 0.35 0.32 0.34 8200 2.72
2013-09-27 0.34 0.34 0.32 0.34 2100 2.72
2013-09-30 0.33 0.33 0.33 0.33 0 2.64
2013-10-01 0.33 0.33 0.32 0.33 100 2.64
2013-10-02 0.33 0.35 0.32 0.34 1500 2.72
2013-10-03 0.34 0.34 0.33 0.34 3500 2.72
2013-10-04 0.34 0.34 0.32 0.34 500 2.72
2013-10-07 0.34 0.34 0.34 0.34 0 2.72
2013-10-08 0.34 0.34 0.33 0.33 100 2.64
2013-10-09 0.33 0.33 0.33 0.33 100 2.64
2013-10-10 0.33 0.34 0.32 0.34 1000 2.72
2013-10-11 0.34 0.34 0.32 0.34 400 2.72
2013-10-14 0.34 0.42 0.32 0.42 34100 3.36
2013-10-15 0.43 0.44 0.39 0.4 45100 3.2
2013-10-16 0.4 0.4 0.37 0.4 35000 3.2
2013-10-17 0.38 0.39 0.37 0.39 1200 3.12
2013-10-18 0.39 0.39 0.37 0.39 3000 3.12
2013-10-21 0.39 0.4 0.39 0.39 7400 3.12
2013-10-22 0.38 0.4 0.38 0.4 2500 3.2
2013-10-23 0.39 0.39 0.38 0.39 4700 3.12
2013-10-24 0.4 0.4 0.38 0.4 700 3.2
2013-10-25 0.4 0.4 0.39 0.39 300 3.12
2013-10-28 0.38 0.38 0.38 0.38 2800 3.04
2013-10-29 0.38 0.39 0.37 0.39 4500 3.12
2013-10-30 0.39 0.39 0.37 0.37 4300 2.96
2013-10-31 0.37 0.38 0.36 0.36 4500 2.88
2013-11-01 0.36 0.36 0.36 0.36 0 2.88
2013-11-04 0.35 0.38 0.35 0.38 5700 3.04
2013-11-05 0.37 0.37 0.35 0.37 2800 2.96
2013-11-06 0.37 0.38 0.36 0.38 1300 3.04
2013-11-07 0.38 0.38 0.37 0.37 100 2.96
2013-11-08 0.35 0.38 0.35 0.38 4000 3.04
2013-11-11 0.38 0.38 0.38 0.38 0 3.04
2013-11-12 0.38 0.38 0.35 0.35 4300 2.8
2013-11-13 0.35 0.36 0.35 0.35 800 2.8
2013-11-14 0.34 0.35 0.34 0.35 200 2.8
2013-11-15 0.35 0.36 0.35 0.36 1200 2.88
2013-11-18 0.37 0.37 0.36 0.37 500 2.96
2013-11-19 0.37 0.37 0.37 0.37 0 2.96
2013-11-20 0.36 0.36 0.35 0.36 100 2.88
2013-11-21 0.36 0.36 0.35 0.35 600 2.8
2013-11-22 0.35 0.36 0.35 0.35 300 2.8
2013-11-25 0.36 0.36 0.35 0.36 600 2.88
2013-11-26 0.36 0.36 0.35 0.35 1000 2.8
2013-11-27 0.36 0.36 0.35 0.36 600 2.88
2013-11-28 0.36 0.36 0.35 0.36 900 2.88
2013-11-29 0.36 0.36 0.34 0.36 200 2.88
2013-12-02 0.36 0.36 0.36 0.36 2700 2.88
2013-12-03 0.34 0.36 0.34 0.36 300 2.88
2013-12-04 0.36 0.36 0.34 0.35 6100 2.8
2013-12-05 0.35 0.35 0.32 0.32 5300 2.56
2013-12-06 0.33 0.33 0.31 0.31 1900 2.48
2013-12-09 0.32 0.33 0.32 0.33 10700 2.64
2013-12-10 0.33 0.33 0.32 0.33 1200 2.64
2013-12-11 0.33 0.33 0.33 0.33 100 2.64
2013-12-12 0.32 0.33 0.32 0.33 1000 2.64
2013-12-13 0.32 0.32 0.32 0.32 0 2.56
2013-12-16 0.32 0.32 0.31 0.32 1900 2.56
2013-12-17 0.32 0.32 0.31 0.31 100 2.48
2013-12-18 0.32 0.32 0.29 0.3 7900 2.4
2013-12-19 0.3 0.3 0.3 0.3 2300 2.4
2013-12-20 0.32 0.32 0.29 0.3 7900 2.4
2013-12-23 0.29 0.3 0.29 0.3 1300 2.4
2013-12-24 0.3 0.3 0.3 0.3 0 2.4
2013-12-25 0.3 0.3 0.3 0.3 0 2.4
2013-12-26 0.3 0.3 0.3 0.3 0 2.4
2013-12-27 0.31 0.32 0.3 0.32 1000 2.56
2013-12-30 0.32 0.32 0.32 0.32 300 2.56
2013-12-31 0.32 0.32 0.32 0.32 0 2.56
2014-01-01 0.32 0.32 0.32 0.32 0 2.56
2014-01-02 0.32 0.32 0.32 0.32 0 2.56
2014-01-03 0.32 0.32 0.32 0.32 0 2.56
2014-01-06 0.32 0.32 0.32 0.32 0 2.56
2014-01-07 0.32 0.32 0.32 0.32 0 2.56
2014-01-08 0.32 0.32 0.31 0.31 100 2.48
2014-01-09 0.3 0.3 0.3 0.3 1100 2.4
2014-01-10 0.31 0.31 0.3 0.3 0 2.4
2014-01-13 0.3 0.3 0.3 0.3 500 2.4
2014-01-14 0.3 0.3 0.29 0.29 1000 2.32
2014-01-15 0.29 0.29 0.28 0.28 300 2.24
2014-01-16 0.29 0.29 0.29 0.29 700 2.32
2014-01-17 0.3 0.32 0.3 0.32 5100 2.56
2014-01-20 0.32 0.33 0.32 0.32 700 2.56
2014-01-21 0.33 0.33 0.32 0.32 1300 2.56
2014-01-22 0.32 0.32 0.31 0.32 200 2.56
2014-01-23 0.31 0.31 0.3 0.31 4400 2.48
2014-01-24 0.32 0.32 0.31 0.32 200 2.56
2014-01-27 0.31 0.32 0.31 0.32 0 2.56
2014-01-28 0.32 0.32 0.3 0.3 1100 2.4
2014-01-29 0.3 0.31 0.3 0.3 2400 2.4
2014-01-30 0.3 0.3 0.3 0.3 100 2.4
2014-01-31 0.3 0.32 0.3 0.32 300 2.56
2014-02-03 0.32 0.32 0.32 0.32 400 2.56
2014-02-04 0.31 0.31 0.31 0.31 600 2.48
2014-02-05 0.32 0.32 0.31 0.32 14000 2.56
2014-02-06 0.32 0.34 0.3 0.34 7800 2.72
2014-02-07 0.34 0.34 0.33 0.33 1500 2.64
2014-02-10 0.33 0.33 0.32 0.33 1300 2.64
2014-02-11 0.33 0.36 0.31 0.35 11100 2.8
2014-02-12 0.36 0.36 0.33 0.35 6100 2.8
2014-02-13 0.35 0.38 0.35 0.35 24700 2.8
2014-02-14 0.35 0.35 0.34 0.35 3100 2.8
2014-02-17 0.34 0.35 0.33 0.35 1700 2.8
2014-02-18 0.34 0.35 0.34 0.35 1600 2.8
2014-02-19 0.35 0.35 0.35 0.35 200 2.8
2014-02-20 0.34 0.35 0.34 0.35 100 2.8
2014-02-21 0.34 0.35 0.34 0.35 1100 2.8
2014-02-24 0.35 0.36 0.33 0.36 2200 2.88
2014-02-25 0.36 0.36 0.34 0.35 700 2.8
2014-02-26 0.35 0.35 0.34 0.34 1800 2.72
2014-02-27 0.34 0.35 0.34 0.35 300 2.8
2014-02-28 0.35 0.35 0.34 0.35 600 2.8
2014-03-03 0.33 0.33 0.32 0.33 2300 2.64
2014-03-04 0.3 0.33 0.3 0.33 1700 2.64
2014-03-05 0.34 0.34 0.33 0.33 100 2.64
2014-03-06 0.33 0.34 0.33 0.34 0 2.72
2014-03-07 0.34 0.34 0.34 0.34 0 2.72
2014-03-10 0.32 0.34 0.31 0.31 900 2.48
2014-03-11 0.31 0.34 0.31 0.33 2000 2.64
2014-03-12 0.33 0.34 0.33 0.34 700 2.72
2014-03-13 0.34 0.34 0.32 0.33 0 2.64
2014-03-14 0.34 0.34 0.33 0.33 0 2.64
2014-03-17 0.34 0.34 0.33 0.33 100 2.64
2014-03-18 0.33 0.33 0.33 0.33 0 2.64
2014-03-19 0.34 0.34 0.32 0.33 100 2.64
2014-03-20 0.33 0.33 0.33 0.33 0 2.64
2014-03-21 0.33 0.33 0.33 0.33 400 2.64
2014-03-24 0.31 0.32 0.31 0.32 400 2.56
2014-03-25 0.32 0.32 0.31 0.32 200 2.56
2014-03-26 0.32 0.33 0.32 0.33 200 2.64
2014-03-27 0.32 0.33 0.32 0.33 400 2.64
2014-03-28 0.31 0.32 0.31 0.31 2700 2.48
2014-03-31 0.3 0.33 0.3 0.32 800 2.56
2014-04-01 0.3 0.3 0.3 0.3 400 2.4
2014-04-02 0.3 0.3 0.3 0.3 1600 2.4
2014-04-03 0.3 0.3 0.3 0.3 1200 2.4
2014-04-04 0.3 0.3 0.3 0.3 200 2.4
2014-04-07 0.3 0.3 0.29 0.29 300 2.32
2014-04-08 0.29 0.29 0.29 0.29 0 2.32
2014-04-09 0.3 0.32 0.3 0.32 800 2.56
2014-04-10 0.3 0.3 0.3 0.3 0 2.4
2014-04-11 0.31 0.31 0.31 0.31 0 2.48
2014-04-14 0.3 0.3 0.3 0.3 600 2.4
2014-04-15 0.29 0.29 0.29 0.29 100 2.32
2014-04-16 0.29 0.29 0.29 0.29 1200 2.32
2014-04-17 0.29 0.29 0.29 0.29 0 2.32
2014-04-18 0.29 0.29 0.29 0.29 0 2.32
2014-04-21 0.29 0.29 0.29 0.29 0 2.32
2014-04-22 0.29 0.29 0.28 0.28 800 2.24
2014-04-23 0.28 0.28 0.28 0.28 700 2.24
2014-04-24 0.28 0.28 0.28 0.28 200 2.24
2014-04-25 0.29 0.29 0.29 0.29 0 2.32
2014-04-28 0.29 0.29 0.29 0.29 0 2.32
2014-04-29 0.29 0.29 0.29 0.29 400 2.32
2014-04-30 0.29 0.29 0.29 0.29 100 2.32
2014-05-01 0.29 0.29 0.29 0.29 0 2.32
2014-05-02 0.3 0.3 0.3 0.3 300 2.4
2014-05-05 0.3 0.3 0.3 0.3 0 2.4
2014-05-06 0.29 0.29 0.28 0.28 100 2.24
2014-05-07 0.29 0.29 0.28 0.28 100 2.24
2014-05-08 0.28 0.29 0.28 0.29 0 2.32
2014-05-09 0.29 0.29 0.29 0.29 0 2.32
2014-05-12 0.29 0.29 0.29 0.29 0 2.32
2014-05-13 0.29 0.29 0.29 0.29 0 2.32
2014-05-14 0.28 0.29 0.28 0.29 300 2.32
2014-05-15 0.27 0.27 0.27 0.27 100 2.16
2014-05-16 0.27 0.27 0.27 0.27 0 2.16
2014-05-19 0.27 0.27 0.26 0.26 700 2.08
2014-05-20 0.26 0.26 0.26 0.26 0 2.08
2014-05-21 0.26 0.26 0.26 0.26 0 2.08
2014-05-22 0.26 0.28 0.26 0.28 500 2.24
2014-05-23 0.27 0.27 0.27 0.27 0 2.16
2014-05-26 0.28 0.28 0.28 0.28 0 2.24
2014-05-27 0.28 0.28 0.28 0.28 0 2.24
2014-05-28 0.28 0.28 0.28 0.28 0 2.24
2014-05-29 0.28 0.28 0.28 0.28 0 2.24
2014-05-30 0.28 0.28 0.27 0.27 300 2.16
2014-06-02 0.27 0.27 0.27 0.27 300 2.16
2014-06-03 0.27 0.28 0.27 0.28 0 2.24
2014-06-04 0.28 0.28 0.27 0.27 0 2.16
2014-06-05 0.27 0.27 0.27 0.27 0 2.16
2014-06-06 0.27 0.27 0.27 0.27 0 2.16
2014-06-09 0.27 0.27 0.27 0.27 0 2.16
2014-06-10 0.28 0.28 0.28 0.28 0 2.24
2014-06-11 0.28 0.28 0.28 0.28 0 2.24
2014-06-12 0.28 0.28 0.28 0.28 0 2.24
2014-06-13 0.27 0.27 0.27 0.27 0 2.16
2014-06-16 0.27 0.27 0.27 0.27 0 2.16
2014-06-17 0.27 0.27 0.27 0.27 0 2.16
2014-06-18 0.27 0.27 0.27 0.27 200 2.16
2014-06-19 0.27 0.27 0.27 0.27 0 2.16
2014-06-20 0.27 0.27 0.27 0.27 200 2.16
2014-06-23 0.27 0.27 0.27 0.27 100 2.16
2014-06-24 0.27 0.27 0.27 0.27 0 2.16
2014-06-25 0.27 0.27 0.27 0.27 0 2.16
2014-06-26 0.27 0.27 0.27 0.27 0 2.16
2014-06-27 0.27 0.27 0.27 0.27 0 2.16
2014-06-30 0.27 0.27 0.27 0.27 0 2.16
2014-07-01 0.26 0.26 0.26 0.26 400 2.08
2014-07-02 0.26 0.27 0.26 0.27 0 2.16
2014-07-03 0.27 0.27 0.27 0.27 0 2.16
2014-07-04 0.27 0.27 0.27 0.27 0 2.16
2014-07-07 0.27 0.27 0.27 0.27 0 2.16
2014-07-08 0.26 0.26 0.26 0.26 1600 2.08
2014-07-09 0.26 0.26 0.26 0.26 0 2.08
2014-07-10 0.27 0.27 0.22 0.22 900 1.76
2014-07-11 0.22 0.22 0.22 0.22 100 1.76
2014-07-14 0.22 0.22 0.22 0.22 0 1.76
2014-07-15 0.24 0.24 0.23 0.23 600 1.84
2014-07-16 0.23 0.23 0.23 0.23 0 1.84
2014-07-17 0.22 0.22 0.22 0.22 400 1.76
2014-07-18 0.22 0.22 0.22 0.22 400 1.76
2014-07-21 0.22 0.22 0.22 0.22 100 1.76
2014-07-22 0.22 0.24 0.22 0.24 0 1.92
2014-07-23 0.24 0.24 0.24 0.24 0 1.92
2014-07-24 0.22 0.24 0.22 0.24 100 1.92
2014-07-25 0.24 0.24 0.22 0.22 0 1.76
2014-07-28 0.22 0.22 0.22 0.22 0 1.76
2014-07-29 0.23 0.23 0.23 0.23 0 1.84
2014-07-30 0.23 0.23 0.23 0.23 0 1.84
2014-07-31 0.24 0.24 0.24 0.24 0 1.92
2014-08-01 0.24 0.24 0.24 0.24 0 1.92
2014-08-04 0.24 0.24 0.24 0.24 0 1.92
2014-08-05 0.24 0.24 0.24 0.24 0 1.92
2014-08-06 0.24 0.24 0.23 0.23 100 1.84
2014-08-07 0.23 0.23 0.23 0.23 0 1.84
2014-08-08 0.23 0.23 0.23 0.23 900 1.84
2014-08-11 0.23 0.23 0.23 0.23 0 1.84
2014-08-12 0.23 0.23 0.23 0.23 600 1.84
2014-08-13 0.23 0.23 0.23 0.23 0 1.84
2014-08-14 0.23 0.23 0.23 0.23 0 1.84
2014-08-15 0.23 0.23 0.23 0.23 0 1.84
2014-08-18 0.24 0.24 0.21 0.21 600 1.68
2014-08-19 0.24 0.24 0.24 0.24 0 1.92
2014-08-20 0.24 0.24 0.24 0.24 0 1.92
2014-08-21 0.24 0.24 0.24 0.24 0 1.92
2014-08-22 0.24 0.24 0.24 0.24 0 1.92
2014-08-25 0.24 0.24 0.24 0.24 0 1.92
2014-08-26 0.24 0.24 0.24 0.24 0 1.92
2014-08-27 0.24 0.24 0.24 0.24 0 1.92
2014-08-28 0.24 0.24 0.24 0.24 0 1.92
2014-08-29 0.2 0.2 0.2 0.2 1500 1.6
2014-09-01 0.21 0.21 0.21 0.21 100 1.68
2014-09-02 0.21 0.21 0.21 0.21 0 1.68
2014-09-03 0.23 0.23 0.23 0.23 0 1.84
2014-09-04 0.23 0.23 0.23 0.23 0 1.84
2014-09-05 0.23 0.23 0.23 0.23 0 1.84
2014-09-08 0.22 0.23 0.22 0.23 400 1.84
2014-09-09 0.23 0.23 0.22 0.22 800 1.76
2014-09-10 0.22 0.22 0.2 0.2 300 1.6
2014-09-11 0.2 0.2 0.2 0.2 0 1.6
2014-09-12 0.2 0.2 0.2 0.2 0 1.6
2014-09-15 0.2 0.2 0.2 0.2 0 1.6
2014-09-16 0.2 0.2 0.2 0.2 0 1.6
2014-09-17 0.2 0.2 0.2 0.2 0 1.6
2014-09-18 0.2 0.2 0.2 0.2 0 1.6
2014-09-19 0.2 0.2 0.2 0.2 0 1.6
2014-09-22 0.2 0.2 0.2 0.2 0 1.6
2014-09-23 0.2 0.2 0.2 0.2 0 1.6
2014-09-24 1.6 1.6 1.6 1.6 0 12.8
2014-09-25 1.6 1.6 1.6 1.6 0 1.6
2014-09-26 1.6 1.76 1.6 1.76 1800 1.76
2014-09-29 1.75 1.75 1.75 1.75 600 1.75
2014-09-30 1.69 1.69 1.69 1.69 0 1.69
2014-10-01 1.68 1.71 1.68 1.71 1800 1.71
2014-10-02 1.69 1.69 1.68 1.68 600 1.68
2014-10-03 1.68 1.68 1.68 1.68 300 1.68
2014-10-06 1.68 1.68 1.68 1.68 900 1.68
2014-10-07 1.65 1.68 1.65 1.68 700 1.68
2014-10-08 1.68 1.7 1.68 1.7 300 1.7
2014-10-09 1.7 1.7 1.7 1.7 0 1.7
2014-10-10 1.7 1.7 1.65 1.7 1500 1.7
2014-10-13 1.7 1.7 1.65 1.7 0 1.7
2014-10-14 1.7 1.7 1.7 1.7 0 1.7
2014-10-15 1.7 1.7 1.64 1.7 200 1.7
2014-10-16 1.7 1.7 1.7 1.7 0 1.7
2014-10-17 1.7 1.7 1.7 1.7 0 1.7
2014-10-20 1.69 1.69 1.69 1.69 3000 1.69
2014-10-21 1.65 1.65 1.62 1.65 300 1.65
2014-10-22 1.65 1.65 1.51 1.57 9900 1.57
2014-10-23 1.57 1.57 1.57 1.57 0 1.57
2014-10-24 1.55 1.63 1.55 1.63 200 1.63
