"Index" "PW.Open" "PW.High" "PW.Low" "PW.Close" "PW.Volume" "PW.Adjusted"
2014-09-19 9.5 9.6 9.35 9.6 1700 9.6
2014-09-22 9.36 9.93 9.36 9.79 6600 9.79
2014-09-23 9.82 10.12 9.82 10.04 21400 10.04
2014-09-24 10.06 10.06 9.87 9.95 1700 9.95
2014-09-25 9.86 10.5 9.86 10.5 6700 10.5
2014-09-26 10.99 11.25 10.75 10.85 18700 10.85
2014-09-29 10.94 10.94 9.99 10 21500 10
2014-09-30 10.15 10.3 9.99 10.16 6300 10.16
2014-10-01 10.16 10.21 10.11 10.14 15100 10.14
2014-10-02 10.11 10.24 10.02 10.23 1500 10.23
2014-10-03 10.15 10.16 10.05 10.12 7200 10.12
2014-10-06 10.49 10.49 10 10.1 5800 10.1
2014-10-07 9.83 10.04 9.81 10 34400 10
2014-10-08 9.97 10.12 9.97 10.12 1000 10.12
2014-10-09 9.92 10.1 9.9 10.05 3100 10.05
2014-10-10 9.97 10.15 9.97 10.15 900 10.15
2014-10-13 9.95 10 9.92 10 7300 10
2014-10-14 10 10.03 9.75 9.75 1700 9.75
2014-10-15 9.6 9.6 9.5 9.55 400 9.55
2014-10-16 9.5 9.55 9.5 9.55 4500 9.55
2014-10-17 9.65 9.8 9.55 9.7 10700 9.7
2014-10-20 9.7 9.7 9.7 9.7 0 9.7
2014-10-21 9.94 9.95 9.94 9.95 1100 9.95
2014-10-22 9.82 9.85 9.5 9.74 13200 9.74
2014-10-23 9.7 9.8 9.7 9.79 600 9.79
2014-10-24 9.5 9.86 9.5 9.85 8600 9.85
2014-10-27 9.97 10.05 9.85 9.85 6900 9.85
