"Index" "VIX.Open" "VIX.High" "VIX.Low" "VIX.Close" "VIX.Volume" "VIX.Adjusted"
2015-01-16 27200.03 27799.97 26000.04 26100.03 1124100 23727.3
2015-01-19 26100.03 26899.95 25399.99 26200.02 519300 23818.2
2015-01-20 25599.97 26100.03 25399.99 25599.97 471300 23272.7
2015-01-21 25599.97 26899.95 25499.98 25599.97 611600 23272.7
2015-01-22 25699.96 26000.04 25000.03 25499.98 382200 23181.8
2015-01-23 26499.99 26599.98 25300 26499.99 808900 24090.9
2015-01-26 26899.95 27599.99 25499.98 26699.97 593800 24272.7
2015-01-27 26699.97 26899.95 25399.99 26000.04 1094700 23636.4
2015-01-28 25499.98 26499.99 25399.99 26000.04 332500 23636.4
2015-01-29 25499.98 27599.99 25000.03 27599.99 617000 25090.9
2015-01-30 26599.98 28200.04 26499.99 27799.97 672900 25272.7
2015-02-02 27000.05 30300.05 27000.05 27699.98 459300 25181.8
2015-02-03 27000.05 29700 27000.05 27200.03 414300 24727.3
2015-02-04 27200.03 27200.03 25799.95 25900.05 674800 23545.5
2015-02-05 25599.97 25900.05 24699.95 24900.04 1145700 22636.4
2015-02-06 24499.97 25900.05 24499.97 25000.03 473200 22727.3
2015-02-09 25000.03 25499.98 23399.97 23599.95 739600 21454.5
2015-02-10 24499.97 24499.97 22000 22600.05 1114000 20545.5
2015-02-11 21600.04 23599.95 21199.97 23599.95 507500 21454.5
2015-02-12 23199.99 24100.01 23000.01 23299.98 587200 21181.8
2015-02-13 23000.01 23299.98 22600.05 22700.04 630800 20636.4
2015-02-18 22700.04 22700.04 22700.04 22700.04 0 20636.4
2015-02-19 22700.04 22700.04 22700.04 22700.04 0 20636.4
2015-02-20 22700.04 22700.04 22700.04 22700.04 0 20636.4
2015-02-23 22700.04 22700.04 22700.04 22700.04 0 20636.4
2015-02-24 22700.04 22700.04 22700.04 22700.04 0 20636.4
2015-02-25 22099.99 23299.98 20500.04 20900 1893800 19000
2015-02-26 20700.02 21299.96 19600.02 19999.98 2077100 18181.8
2015-02-27 20099.97 21099.98 18700 20099.97 2701200 18272.7
2015-03-02 19700.01 20400.05 19600.02 19899.99 1236900 18090.9
2015-03-03 19700.01 20299.95 18700 19700.01 1942500 17909.1
2015-03-04 16300.02 16300.02 16300.02 16300.02 626800 14818.2
2015-03-05 17899.97 17899.97 16599.99 16699.98 2420200 15181.8
2015-03-06 16699.98 16799.97 15699.97 15899.95 2076800 14454.5
2015-03-09 15699.97 15799.96 14799.95 15400 3023900 14000
2015-03-10 15100.03 16100.04 15000.04 15799.96 1145200 14363.6
2015-03-11 15599.98 15699.97 15400 15400 842700 14000
2015-03-12 15200.02 15699.97 15000.04 15699.97 763200 14272.7
2015-03-13 15499.99 15899.95 15400 15699.97 726800 14272.7
2015-03-16 15699.97 15699.97 15300.01 15400 814100 14000
2015-03-17 15100.03 15899.95 15000.04 15799.96 1055000 14363.6
2015-03-18 15599.98 15799.96 15400 15599.98 831000 14181.8
2015-03-19 15400 15899.95 15400 15400 1161600 14000
2015-03-20 15100.03 15499.99 15000.04 15400 608400 14000
2015-03-23 15300.01 15799.96 15100.03 15300.01 825700 13909.1
2015-03-24 15300.01 15300.01 15300.01 15300.01 0 13909.1
2015-03-25 15300.01 15300.01 15300.01 15300.01 0 13909.1
2015-03-26 15300.01 15300.01 15300.01 15300.01 0 13909.1
2015-03-27 15300.01 15300.01 15300.01 15300.01 0 13909.1
2015-03-30 15300.01 15300.01 15300.01 15300.01 0 13909.1
2015-03-31 15300.01 15300.01 15300.01 15300.01 0 13909.1
2015-04-01 15300.01 15300.01 15300.01 15300.01 0 13909.1
2015-04-02 15300.01 15300.01 15300.01 15300.01 0 13909.1
2015-04-03 15300.01 15300.01 15300.01 15300.01 0 13909.1
2015-04-06 15300.01 15300.01 15300.01 15300.01 0 13909.1
2015-04-07 15300.01 15300.01 15300.01 15300.01 0 13909.1
2015-04-08 15300.01 15300.01 15300.01 15300.01 0 13909.1
2015-04-09 15300.01 15300.01 15300.01 15300.01 0 13909.1
2015-04-10 15300.01 15300.01 15300.01 15300.01 0 13909.1
2015-04-13 15300.01 15300.01 15300.01 15300.01 0 13909.1
2015-04-14 15300.01 15300.01 15300.01 15300.01 0 13909.1
2015-04-15 15300.01 15300.01 15300.01 15300.01 0 13909.1
2015-04-16 15300.01 15300.01 15300.01 15300.01 0 13909.1
2015-04-17 15300.01 15300.01 15300.01 15300.01 0 13909.1
2015-04-20 15300.01 15300.01 15300.01 15300.01 0 13909.1
2015-04-21 15300.01 15300.01 15300.01 15300.01 0 13909.1
2015-04-22 15300.01 15300.01 15300.01 15300.01 0 13909.1
2015-04-23 15300.01 15300.01 15300.01 15300.01 0 13909.1
2015-04-24 15300.01 15300.01 15300.01 15300.01 0 13909.1
2015-04-27 15300.01 15300.01 15300.01 15300.01 0 13909.1
2015-04-28 15300.01 15300.01 15300.01 15300.01 0 13909.1
2015-04-29 15300.01 15300.01 15300.01 15300.01 0 13909.1
2015-04-30 15300.01 15300.01 15300.01 15300.01 0 13909.1
2015-05-01 15300.01 15300.01 15300.01 15300.01 0 13909.1
2015-05-04 15300.01 15300.01 15300.01 15300.01 0 13909.1
2015-05-05 15300.01 15300.01 15300.01 15300.01 0 13909.1
2015-05-06 15300.01 15300.01 15300.01 15300.01 0 13909.1
2015-05-07 15300.01 15300.01 15300.01 15300.01 0 13909.1
2015-05-08 15300.01 15300.01 15300.01 15300.01 0 13909.1
2015-05-11 15300.01 15300.01 15300.01 15300.01 0 13909.1
2015-05-12 15300.01 15300.01 15300.01 15300.01 0 13909.1
2015-05-13 15300.01 15300.01 15300.01 15300.01 0 13909.1
2015-05-14 15300.01 15300.01 15300.01 15300.01 0 13909.1
2015-05-15 15300.01 15300.01 15300.01 15300.01 0 13909.1
2015-05-18 15300.01 15300.01 15300.01 15300.01 0 13909.1
2015-05-19 15300.01 15300.01 15300.01 15300.01 0 13909.1
2015-05-20 15300.01 15300.01 15300.01 15300.01 0 13909.1
2015-05-21 9300 9700 9100 9700 2467100 8818.18
2015-05-22 10000 10600 9700 10600 2541000 9636.36
2015-05-25 11399.96 11600.05 10700 11600.05 1726200 10545.5
2015-05-26 12599.95 12599.95 10900 10900 2711500 9909.09
2015-05-27 11000 11900.02 10600 11700.04 2379000 10636.4
2015-05-28 12000.01 12700.05 11700.04 12199.99 1675200 11090.9
2015-05-29 12299.98 12299.98 11299.97 11499.95 1400300 10454.5
2015-06-01 11499.95 12299.98 11399.96 11600.05 1368000 10545.5
2015-06-02 11600.05 12100 11600.05 11700.04 1314100 10636.4
2015-06-03 11800.03 12100 11700.04 12000.01 866500 10909.1
2015-06-04 12000.01 13200 12000.01 13200 2297700 12000
2015-06-05 13800.05 14300 13499.97 14000.03 2789600 12727.3
2015-06-08 14300 14599.97 13800.05 13800.05 1936500 12545.5
2015-06-09 13800.05 13900.04 12499.96 13100.01 3065000 11909.1
2015-06-10 12599.95 13200 12499.96 12900.03 1108800 11727.3
2015-06-11 12900.03 13399.98 12599.95 12700.05 1105500 11545.5
2015-06-12 13000.02 13299.99 12599.95 13100.01 2170900 11909.1
2015-06-15 13100.01 13399.98 12599.95 12900.03 966000 11727.3
2015-06-16 12900.03 13000.02 11900.02 11900.02 1345000 10818.2
2015-06-17 11900.02 12100 11299.97 11299.97 1636600 10272.7
2015-06-18 10500 11800.03 10300 11700.04 1006600 10636.4
2015-06-19 11600.05 11800.03 11199.98 11299.97 1109800 10272.7
2015-06-22 11299.97 11700.04 10800 11499.95 666300 10454.5
2015-06-23 11299.97 11600.05 11299.97 11399.96 470000 10363.6
2015-06-24 11099.99 11499.95 11000 11000 3154800 10000
2015-06-25 11000 11099.99 10500 10500 2130600 9545.45
2015-06-26 10900 11499.95 10300 11499.95 3318500 10454.5
2015-06-29 12199.99 12499.96 11700.04 12000.01 3299900 10909.1
2015-06-30 11900.02 12000.01 11199.98 11199.98 1999100 10181.8
2015-07-01 11000 12000.01 10300 11299.97 2392700 10272.7
2015-07-02 11499.95 11800.03 10900 11700.04 2018700 10636.4
2015-07-03 11499.95 11900.02 11399.96 11600.05 3346800 10545.5
2015-07-06 11399.96 12000.01 11399.96 11900.02 2924000 10818.2
2015-07-07 11700.04 11900.02 11499.95 11600.05 2153500 10545.5
2015-07-08 11399.96 11800.03 11000 11199.98 2697900 10181.8
2015-07-09 11000 11299.97 10800 11199.98 1900900 10181.8
2015-07-10 11199.98 11499.95 10900 10900 1984000 9909.09
2015-07-13 10600 11000 10400.01 10400.01 2144500 9454.55
2015-07-14 9900 10900 9900 10700 2261800 9727.27
2015-07-15 9700 10700 9700 10200 1193000 9272.73
2015-07-16 9200 10200 9200 9900 1186200 9000
2015-07-17 9000 10300 9000 9900 913100 9000
2015-07-20 9800 9900 9500 9700 1108900 8818.18
2015-07-21 9400 9700 9200 9300 1069900 8454.55
2015-07-22 9200 9900 9100 9600 1608800 8727.27
2015-07-23 9700 9700 9400 9400 967500 8545.45
2015-07-24 9000 9800 9000 9600 1094800 8727.27
2015-07-27 8700 9700 8700 9300 919200 8454.55
2015-07-28 8900 9900 8900 9400 1804200 8545.45
2015-07-29 9000 9600 9000 9600 557400 8727.27
2015-07-30 9600 10500 9500 10400.01 2139900 9454.55
2015-07-31 10400.01 10600 9900 9900 1552100 9000
2015-08-03 9000 9900 9000 9400 1136000 8545.45
2015-08-04 8500 9700 8500 9500 867300 8636.36
2015-08-05 8600 9900 8600 9800 839600 8909.09
2015-08-06 9800 9900 9600 9600 1075000 8727.27
2015-08-07 9100 9700 9100 9600 798900 8727.27
2015-08-10 9100 9800 9100 9500 987100 8636.36
2015-08-11 9600 10000 9600 9700 1713100 8818.18
2015-08-12 8800 9800 8800 9500 895900 8636.36
2015-08-13 10400.01 10400.01 9100 9300 1192600 8454.55
2015-08-14 9300 9400 9100 9300 1104300 8454.55
2015-08-17 9300 9500 8900 9100 1150300 8272.73
2015-08-18 10000 10000 9000 9300 626700 8454.55
2015-08-19 9800 9800 8900 9200 1747600 8363.64
2015-08-20 9500 9500 8800 8800 992700 8000
2015-08-21 9600 9600 8000 8300 2272800 7545.45
2015-08-24 8200 8200 7500 7500 1902100 6818.18
2015-08-25 6800 7600 6800 7000 2482100 6363.64
2015-08-26 6300 7700 6300 7700 2329600 7000
2015-08-27 8400 8400 8100 8400 3465200 7636.36
2015-08-28 9200 9200 8100 8400 1891500 7636.36
2015-08-31 9000 9000 8000 8100 1474100 7363.64
2015-09-01 8900 8900 7900 8000 1122400 7272.73
2015-09-02 8000 8000 8000 8000 0 7272.73
2015-09-03 8700 8700 8000 8100 2216800 7363.64
2015-09-04 8800 8800 8000 8000 686600 7272.73
2015-09-07 8200 8200 7800 7800 772700 7090.91
2015-09-08 7800 8200 7800 8200 1221300 7454.55
2015-09-09 8900 8900 8100 8100 1416800 7363.64
2015-09-10 8800 8800 8000 8400 2242200 7636.36
2015-09-11 8500 9100 8300 8600 3027300 7818.18
2015-09-14 9400 9400 8200 8200 947700 7454.55
2015-09-15 8200 8500 8200 8400 1739500 7636.36
2015-09-16 8181.82 8181.82 7454.55 7636.36 1068700 6942.15
2015-09-17 8090.91 8090.91 7545.45 7545.45 1029500 6859.5
2015-09-18 7909.09 8000 7636.36 7636.36 1281800 6942.15
2015-09-21 8363.64 8363.64 7545.45 7818.18 2055100 7107.44
2015-09-22 8500 8500 8200 8200 3169600 8200
2015-09-23 8900 8900 8100 8400 837900 8400
2015-09-24 7600 8900 7600 8600 2582000 8600
2015-09-25 8500 8600 8400 8400 911200 8400
2015-09-28 8400 8400 8000 8000 1101700 8000
2015-09-29 8000 8200 7900 8200 1519000 8200
2015-09-30 8300 8300 8100 8100 1000600 8100
2015-10-01 8200 8300 8100 8200 692600 8200
2015-10-02 8200 8200 8000 8100 686400 8100
2015-10-05 8100 8200 8000 8100 717300 8100
2015-10-06 8200 8500 8200 8500 1813100 8500
2015-10-07 8500 8600 8200 8200 794500 8200
2015-10-08 8300 8600 8200 8400 2020500 8400
2015-10-09 8400 8500 8200 8300 799600 8300
2015-10-12 8300 8500 8200 8300 1135900 8300
2015-10-13 8300 8300 8200 8200 899900 8200
2015-10-14 8300 8300 8000 8100 746100 8100
2015-10-15 8100 8200 8000 8100 524000 8100
2015-10-16 8200 8300 8100 8100 922000 8100
2015-10-19 8100 8200 8000 8100 539900 8100
2015-10-20 8100 8100 7900 8000 669300 8000
2015-10-21 8000 8000 7700 7700 900800 7700
2015-10-22 7600 7900 7600 7900 709200 7900
2015-10-23 8000 8000 7800 7900 897100 7900
2015-10-26 7900 7900 7600 7600 729000 7600
2015-10-27 7600 7700 7600 7600 784900 7600
2015-10-28 7600 7700 7400 7400 1162700 7400
2015-10-29 7500 7700 7400 7700 2100900 7700
2015-10-30 7800 7800 7500 7500 630400 7500
